FilmID,Title,Release_Date,DirectorID,Lead_Actor_Actress,LanguageID,Industry,GenreID,Budget,First_Day_Collection_Worldwide,Worldwide_Collection_in_Crores,Overseas_Collection,India_Gross_Collection,Verdict,IMDb_Rating,Runtime_mins,OTT_Platform,Year,Month,Month_Name,Week_Name
157,Mahanubhavudu,29-09-2017,180,Sharwanand,505,Tollywood,608,15,7,45.3,5.2,40.1,Blockbuster,6.4,151,Google Play Movies,2017,9,September,Friday
32,Ugramm,21-02-2014,131,Sri Murali,507,Sandalwood,621,4,2,31,0,31,Blockbuster,8,132,Amazon Prime Video,2014,2,February,Friday
80,Imaikkaa Nodigal,14-09-2018,172,Nayanthara,503,Kollywood,621,10,2,40,10,30,Blockbuster,7.3,170,Amazon Prime Video,2018,9,September,Friday
315,Bheeshmaparvam,3/3/22,179,Mammootty,509,Mollywood,621,18,12.2,88.2,36.5,51.7,Blockbuster,7.6,144,Disney+ Hotstar,2022,3,March,Thursday
9,Ek Villain,27-06-2014,109,Sidharth Malhotra,501,Bollywood,609,40,16.7,155,12.3,142.7,Blockbuster,6.6,129,Netflix,2014,6,June,Friday
43,Badhaai ho,19-10-2018,138,Ayushmann Khurrana,503,Kollywood,620,30,8,220,44,176,Blockbuster,7.9,124,Disney+ Hotstar,2018,10,October,Friday
68,Njan Prakashan,4/1/19,161,Fahadh Faasil,509,Mollywood,620,8,1.5,52,17.5,34.5,Blockbuster,7.7,131,Amazon Prime Video,2019,1,January,Friday
16,Velaiilla Pattadhari,18-07-2014,115,Dhanush,503,Kollywood,610,20,4.3,92,18,74,Blockbuster,7.9,133,Amazon Prime Video,2014,7,July,Friday
14,Race Gurram,11/4/14,113,Allu Arjun,505,Tollywood,612,50,6.8,108.9,6,102.9,Blockbuster,7.3,163,Amazon Prime Video,2014,4,April,Friday
142,Nenu Local,3/2/17,178,Nani,505,Tollywood,615,20,9.7,60,9.2,50.8,Blockbuster,6.4,138,ZEE5,2017,2,February,Friday
23,Manam,23-05-2014,122,Nagarjuna Akkineni,505,Tollywood,617,25,3.5,62,6.4,55.6,Blockbuster,8,163,Amazon Prime Video,2014,5,May,Friday
85,Aadhi,9/2/18,177,Pranav Mohanlal,509,Mollywood,618,7,2.7,36,5,31,Blockbuster,6.4,158,Aha,2018,2,February,Friday
91,Rx 100,12/7/18,183,Kartikeya Gummakonda,505,Tollywood,619,2,1.5,27.3,1,26.3,Blockbuster,6.9,153,Amazon Prime Video,2018,7,July,Thursday
72,96,5/10/18,165,Vijay Sethupathi,503,Kollywood,636,15,7.6,50,13.5,36.5,Blockbuster,8.5,158,Amazon Prime Video,2018,10,October,Friday
35,Padmaavat,25-01-2018,133,Deepika Padukone,501,Bollywood,624,190,25,585,185,400,Blockbuster,7.1,163,Amazon Prime Video,2018,1,January,Thursday
214,Sultan,6/7/16,111,Salman Khan,501,Bollywood,680,140,71.3,607.7,186.5,421.2,Blockbuster,7.1,170,Amazon Prime Video,2016,7,July,Wednesday
39,Baaghi 2,28-03-2018,136,Disha Patani,501,Bollywood,626,65,25,257,45.1,211.9,Blockbuster,4.8,137,Disney+ Hotstar,2018,3,March,Wednesday
84,Ratsasan,5/10/18,176,Vishnu Vishal,503,Kollywood,626,10,0.5,36.8,6.9,29.9,Blockbuster,8.3,146,Amazon Prime Video,2018,10,October,Friday
87,Varathan,4/10/18,179,Fahadh Faasil,509,Mollywood,627,3.5,2.1,34.2,4.1,30.1,Blockbuster,7.5,130,Amazon Prime Video,2018,10,October,Thursday
47,Stree,31-08-2018,141,Rajkummar Rao,501,Bollywood,628,25,9,182,15,167,Blockbuster,7.5,128,Netflix,2018,8,August,Friday
51,Sonu Ke Titu Ki Sweety,23-02-2018,145,Kartik Aaryan,501,Bollywood,630,25,13,156.4,17,139.4,Blockbuster,7.1,138,Amazon Prime Video,2018,2,February,Friday
208,Bhale Bhale Magadivoy,4/9/15,180,Nani,505,Tollywood,630,10,6.5,50,10,40,Blockbuster,7.7,137,Amazon Prime Video,2015,9,September,Friday
71,Thamizh Padam 2,13-07-2018,164,Jiiva,503,Kollywood,631,10,4.2,51,2.8,48.2,Blockbuster,6.5,143,Amazon Prime Video,2018,7,July,Friday
60,Mahanati,11/5/18,153,Keerthy Suresh,505,Tollywood,633,20,3.5,83.5,10.5,73,Blockbuster,8.4,177,Amazon Prime Video,2018,5,May,Friday
81,Tagaru,23-02-2018,173,Shivarajkumar,507,Sandalwood,640,10,7,40,0,40,Blockbuster,7.9,129,Amazon Prime Video,2018,2,February,Friday
89,Kolamavu Kokila,17-08-2018,181,Nayanthara,503,Kollywood,642,10,4,31.3,2,29.3,Blockbuster,7.3,140,Disney+ Hotstar,2018,8,August,Friday
228,Baaghi,29-04-2016,121,Tiger Shroff,501,Bollywood,663,35,11.8,125.8,23.1,102.7,Blockbuster,5.3,133,Amazon Prime Video,2016,4,April,Friday
187,I,14-01-2015,132,Vikram,503,Kollywood,671,90,35,240,38,202,Blockbuster,7.4,188,Amazon Prime Video,2015,1,January,Wednesday
262,Doctor,9/10/21,181,Sivakarthikeyan,503,Kollywood,693,40,13.5,100.5,20,80.5,Blockbuster,7.4,148,Netflix,2021,10,October,Saturday
146,Shatamanam Bhavati,14-01-2017,185,Sharwanand,505,Tollywood,647,15,6.5,53.5,5.2,48.3,Blockbuster,7,129,Amazon Prime Video,2017,1,January,Saturday
96,Sudani from Nigeria,20-04-2018,188,Soubin Shahir,509,Mollywood,645,2,2,24.7,3.1,21,Blockbuster,8.1,123,Netflix,2018,4,April,Friday
97,Chalo,2/2/18,189,Naga Shaurya,505,Tollywood,646,5,1.2,24,4.8,19.2,Blockbuster,6.3,145,Amazon Prime Video,2018,2,February,Friday
99,Goodachari,3/8/18,191,Adivi Sesh,505,Tollywood,618,5,2.9,23.4,5.5,17.9,Blockbuster,7.8,147,Amazon Prime Video,2018,8,August,Friday
286,RRR (Rise Roar Revolt),25-03-2022,195,N.T. Rama Rao Jr.,505,Tollywood,698,550,223,1230,314.15,915.85,Blockbuster,7.8,187,Netflix,2022,3,March,Friday
105,Secret Superstar,19-10-2017,196,Zaira Wasim,501,Bollywood,650,50,5,912.6,831.4,81.2,Blockbuster,7.8,150,Amazon Prime Video,2017,10,October,Thursday
106,Tiger Zinda Hai,22-12-2017,197,Salman Khan,501,Bollywood,651,200,65.2,558,124.2,433.8,Blockbuster,5.9,161,Amazon Prime Video,2017,12,December,Friday
108,Hindi Medium,19-05-2017,198,Irrfan Khan,501,Bollywood,620,25,3.5,334,237.4,96.6,Blockbuster,7.8,132,Amazon Prime Video,2017,5,May,Friday
111,Mersal,18-10-2017,201,Joseph Vijay,503,Kollywood,607,125,50.3,255,71,184,Blockbuster,7.5,172,Netflix,2017,10,October,Wednesday
131,Fidaa,21-07-2017,216,Varun Tej,505,Tollywood,608,15,8.9,87,13.1,73.9,Blockbuster,7.4,144,Disney+ Hotstar,2017,7,July,Friday
204,Thani Oruvan,28-08-2015,218,Jayam Ravi,503,Kollywood,607,20,14,64.7,10.7,54,Blockbuster,8.4,160,Amazon Prime Video,2015,8,August,Friday
139,Vikram Vedha,21-07-2017,223,Madhavan,503,Kollywood,621,15,3.1,63.2,3.2,60,Blockbuster,8.2,147,ZEE5,2017,7,July,Friday
148,Ninnu Kori,7/7/17,229,Nani,505,Tollywood,630,20,10.6,52.3,7.7,44.6,Blockbuster,7.5,137,Amazon Prime Video,2017,7,July,Friday
150,Arjun Reddy,7/12/23,231,Vijay Deverakonda,505,Tollywood,619,5,8.2,50,11.6,38.4,Blockbuster,7.9,182,Amazon Prime Video,2023,12,December,Thursday
151,Munthirivallikal Thalirkkumbol,20-01-2017,232,Mohanlal,509,Mollywood,630,10,2.6,50,15,35,Blockbuster,6.9,154,Sun NXT,2017,1,January,Friday
154,Ezra,10/2/17,234,Prithviraj Sukumaran,509,Mollywood,661,8,1.6,48.6,8.1,40.5,Blockbuster,6.6,147,Amazon Prime Video,2017,2,February,Friday
158,Hebbuli,22-04-2017,236,V. Ravichandran,507,Sandalwood,627,20,6.5,45,0,45,Blockbuster,6.6,141,ZEE5,2017,4,April,Saturday
161,Ramaleela,27-10-2017,239,Dileep,509,Mollywood,664,14,2.1,40.8,8.7,32.1,Blockbuster,7.3,158,Amazon Prime Video,2017,10,October,Friday
169,Aadu 2,22-12-2017,244,Jayasurya,509,Mollywood,631,7.5,3.4,35.3,6.3,29,Blockbuster,7.1,160,ZEE5,2017,12,December,Friday
378,Anjaam Pathiraa,31-01-2020,244,Kunchacko Boban,509,Mollywood,717,5,1.5,50,15,35,Blockbuster,7.9,144,Sun NXT,2020,1,January,Friday
173,Kavan,31-03-2017,248,Vijay Sethupathi,503,Kollywood,627,10,3.1,30,7.3,22.7,Blockbuster,7.1,150,Amazon Prime Video,2017,3,March,Friday
177,Take Off,1/1/20,251,Parvathy Thiruvothu,509,Mollywood,627,8,1.4,27.1,6.1,21,Blockbuster,8.1,139,Amazon Prime Video,2020,1,January,Wednesday
268,Krack,9/1/21,253,Ravi Teja,505,Tollywood,621,35,1.4,60.15,1.4,58.75,Blockbuster,6.9,154,Aha,2021,1,January,Saturday
195,Kanchana 2,17-04-2015,259,Raghava Lawrence,503,Kollywood,628,17,10,114,6,108,Blockbuster,5.5,166,Sun NXT,2015,4,April,Friday
264,Maanaadu,25-11-2021,264,Silambarasan Rajendar,503,Kollywood,639,35,8.4,80.7,17,63.7,Blockbuster,8.2,147,SonyLIV,2021,11,November,Thursday
205,Ennu Ninte Moideen,19-09-2015,265,Prithviraj Sukumaran,509,Mollywood,676,10,0.81,57.2,19,38.2,Blockbuster,8,166,Amazon Prime Video,2015,9,September,Saturday
207,Two Countries,25-12-2015,266,Dileep,509,Mollywood,620,12,2.2,50.3,14,36.3,Blockbuster,6.9,154,Sun NXT,2015,12,December,Friday
209,Amar Akbar Anthony,16-10-2015,267,Prithviraj Sukumaran,509,Mollywood,642,7,1.6,46.4,13,33.4,Blockbuster,6.6,140,Sun NXT,2015,10,October,Friday
252,Kattappanayile Rithwik Roshan,18-11-2016,267,Siddique,509,Mollywood,608,3,1.1,37.1,13.3,23.8,Blockbuster,7.1,140,Sun NXT,2016,11,November,Friday
241,Remo,7/10/16,285,Sivakarthikeyan,503,Kollywood,630,25,8,75,11.5,63.5,Blockbuster,6,151,Amazon Prime Video,2016,10,October,Friday
247,Oppam,8/9/16,290,Mohanlal,509,Mollywood,607,7,1.5,52,13.7,38.3,Blockbuster,7.3,143,Amazon Prime Video,2016,9,September,Thursday
250,Pichaikkaran,4/3/16,293,Vijay Antony,503,Kollywood,627,10,1.8,43,10,33,Blockbuster,7.6,130,Amazon Prime Video,2016,3,March,Friday
253,Action Hero Biju,4/2/16,295,Nivin Pauly,509,Mollywood,691,3,1.6,31.2,13.3,17.9,Blockbuster,7.6,144,Sun NXT,2016,2,February,Thursday
290,Vikram,3/6/22,296,Kamal Haasan,503,Kollywood,621,120,62,414.43,125,289.43,Blockbuster,8.3,175,Amazon Prime Video,2022,6,June,Friday
263,Uppena,12/2/21,298,Panja Vaisshnav Tej,505,Tollywood,619,25,16.9,84.1,2.5,81.6,Blockbuster,6.5,147,Netflix,2021,2,February,Friday
267,Jathi Ratnalu,11/3/21,301,Naveen Polishetty,505,Tollywood,631,15,8.5,68,11,57,Blockbuster,7.3,145,Amazon Prime Video,2021,3,March,Thursday
288,Ponniyin Selvan: Part One,30-09-2022,310,Vikram,503,Kollywood,698,250,80.7,488.36,175,313.36,Blockbuster,7.6,167,Amazon Prime Video,2022,9,September,Friday
292,Drishyam 2,12/1/23,313,Ajay Devgn,501,Bollywood,700,65,23.86,342.31,59.5,282.81,Blockbuster,8.2,140,Amazon Prime Video,2023,1,January,Thursday
293,The Kashmir Files,11/3/22,314,Mithun Chakraborty,501,Bollywood,647,20,4.9,341,46,295,Blockbuster,8.6,170,ZEE5,2022,3,March,Friday
304,Karthikeya 2,26-08-2022,319,Nikhil Siddharth,505,Tollywood,703,25,8.7,117.87,15.5,102.37,Blockbuster,7.9,150,ZEE5,2022,8,August,Friday
305,Thiruchitrambalam,18-08-2022,320,Dhanush,503,Kollywood,704,30,11,117.2,26.9,90.3,Blockbuster,7.9,131,Sun NXT,2022,8,August,Thursday
306,Don,13-05-2022,321,Sivakarthikeyan,503,Kollywood,608,35,13,114,23.35,90.65,Blockbuster,6.8,165,Netflix,2022,5,May,Friday
308,777 Charlie,10/6/22,322,Rakshit Shetty,507,Sandalwood,705,15,9.25,102.75,5.8,96.95,Blockbuster,8.7,164,Voot,2022,6,June,Friday
311,Sita Ramam,5/8/22,324,Dulquer Salmaan,505,Tollywood,706,30,5.7,94.28,17,77.28,Blockbuster,8.5,163,Amazon Prime Video,2022,8,August,Friday
317,Love Today,2/12/22,327,Pradeep Ranganathan,503,Kollywood,608,6,2.85,83.55,5,78.55,Blockbuster,8,154,Netflix,2022,12,December,Friday
333,Hridayam,28-01-2022,332,Pranav Mohanlal,509,Mollywood,711,7,5.4,53.1,22.5,30.6,Blockbuster,8.1,172,Disney+ Hotstar,2022,1,January,Friday
335,Malikappuram,30-12-2022,333,Unni Mukundan,509,Mollywood,698,4,0.52,52.4,10.5,41.9,Blockbuster,7.4,121,Disney+ Hotstar,2022,12,December,Friday
346,Thallumaala,12/8/22,341,Tovino Thomas,509,Mollywood,610,15,7.5,40,13.35,26.65,Blockbuster,7,148,Netflix,2022,8,August,Friday
351,Nna Thaan Case Kodu,11/8/22,346,Kunchacko Boban,509,Mollywood,642,7,1.4,31.94,8,23.94,Blockbuster,8,138,Disney+ Hotstar,2022,8,August,Thursday
355,DJ Tillu,12/2/22,349,Sidhu Jonnalagadda,505,Tollywood,719,10,8,30.5,3.2,27.3,Blockbuster,7.2,121,Aha,2022,2,February,Saturday
367,Tanhaji: The Unsung Warrior,10/1/20,359,Ajay Devgn,501,Bollywood,723,150,21.8,361,36,325,Blockbuster,7.5,135,Disney+ Hotstar,2020,1,January,Friday
381,Ayyappanum Koshiyum,14-02-2020,363,Biju Menon,509,Mollywood,627,10,2.5,43,13,30,Blockbuster,8,177,Amazon Prime Video,2020,2,February,Friday
392,Kabir Singh,21-06-2019,231,Shahid Kapoor,501,Bollywood,619,55,26.5,377,47,330,Blockbuster,7,173,Netflix,2019,6,June,Friday
393,Uri: The Surgical Strike,11/1/19,371,Vicky Kaushal,501,Bollywood,696,40,8.2,341.75,48,293.75,Blockbuster,8.2,138,ZEE5,2019,1,January,Friday
397,Mission Mangal,15-08-2019,372,Akshay Kumar,501,Bollywood,726,75,42,290.3,54.3,236,Blockbuster,6.5,130,Disney+ Hotstar,2019,8,August,Thursday
409,Badla,8/3/19,289,Amitabh Bachchan,501,Bollywood,700,20,10,140.4,36,104.4,Blockbuster,7.7,118,Netflix,2019,3,March,Friday
411,F2: Fun and Frustration,12/1/19,230,Tamannaah Bhatia,505,Tollywood,631,30,12.5,137.6,20,117.6,Blockbuster,6.1,148,Amazon Prime Video,2019,1,January,Saturday
413,Lucifer,29-03-2019,378,Mohanlal,509,Mollywood,621,35,14,129.2,50.5,78.7,Blockbuster,7.5,175,Amazon Prime Video,2019,3,March,Friday
414,Luka Chuppi,1/3/19,379,Kartik Aaryan,501,Bollywood,630,25,8,128,17,111,Blockbuster,6.4,126,Netflix,2019,3,March,Friday
416,Kaithi,25-10-2019,296,Karthi,503,Kollywood,621,25,9,106.8,20,86.8,Blockbuster,8.4,145,Amazon Prime Video,2019,10,October,Friday
421,iSmart Shankar,18-07-2019,382,Ram Pothineni,505,Tollywood,622,20,13,80,4,76,Blockbuster,5.4,140,ZEE5,2019,7,July,Thursday
422,Madhura Raja,12/4/19,278,Mammootty,509,Mollywood,610,30,9.1,78.4,16,62.4,Blockbuster,5.9,147,Amazon Prime Video,2019,4,April,Friday
423,Avane Srimannarayana,27-12-2019,383,Rakshit Shetty,507,Sandalwood,731,25,5.5,75.3,4.1,71.2,Blockbuster,7.7,186,Amazon Prime Video,2019,12,December,Friday
424,Namma Veettu Pillai,27-09-2019,155,Sivakarthikeyan,503,Kollywood,610,30,10,72,12,60,Blockbuster,6,153,Sun NXT,2019,9,September,Friday
425,Asuran,3/10/19,157,Dhanush,503,Kollywood,606,25,5.4,68.8,48.6,20.2,Blockbuster,8.4,141,Amazon Prime Video,2019,10,October,Thursday
428,Prati Roju Pandaage,19-12-2019,180,Sai Dharam Tej,505,Tollywood,643,25,7.1,53.5,4.4,49.1,Blockbuster,6.3,146,Amazon Prime Video,2019,12,December,Thursday
430,Comali,16-08-2019,327,Jayam Ravi,503,Kollywood,631,25,13,53,8.5,43.5,Blockbuster,6.9,143,Amazon Prime Video,2019,8,August,Friday
431,Yajamana,1/3/19,385,Darshan Thoogudeep,507,Sandalwood,637,20,7.3,52,3,49,Blockbuster,6.1,164,Amazon Prime Video,2019,3,March,Friday
441,Thanneer Mathan Dhinangal,9/8/19,390,Vineeth Sreenivasan,509,Mollywood,630,4,1.2,34.1,13.2,20.9,Blockbuster,7.8,136,Amazon Prime Video,2019,8,August,Friday
442,Oh! Baby,5/7/19,391,Samantha Ruth Prabhu,505,Tollywood,617,15,4.8,33.9,7.4,26.5,Blockbuster,7.3,161,Netflix,2019,7,July,Friday
446,Love Action Drama,13-09-2019,393,Nivin Pauly,509,Mollywood,630,8,2,31.1,8,23.1,Blockbuster,5.2,146,Sun NXT,2019,9,September,Friday
447,Driving Licence,24-12-2019,394,Prithviraj Sukumaran,509,Mollywood,732,4,1.1,31,7.5,23.5,Blockbuster,7.2,135,Amazon Prime Video,2019,12,December,Tuesday
461,LKG,22-02-2019,404,RJ Balaji,503,Kollywood,631,5,3.5,20.9,4.7,16.2,Blockbuster,6.9,124,Aha,2019,2,February,Friday
465,Animal,1/12/23,231,Ranbir Kapoor,501,Bollywood,621,150,116,915,255,660,Blockbuster,6.1,204,Netflix,2023,12,December,Friday
466,Gadar 2,11/8/23,406,Sunny Deol,501,Bollywood,699,80,53.3,686,65.5,620.5,Blockbuster,5.1,170,ZEE5,2023,8,August,Friday
468,Leo,19-10-2023,296,Joseph Vijay,503,Kollywood,621,250,142.7,605.9,204,401.9,Blockbuster,7.2,164,Netflix,2023,10,October,Thursday
469,Jailer,10/8/23,181,Rajinikanth,503,Kollywood,603,200,96.6,604.5,196,408.5,Blockbuster,7.1,168,Amazon Prime Video,2023,8,August,Thursday
475,The Kerala Story,12/5/23,407,Adah Sharma,501,Bollywood,647,25,9.5,302,15.5,286.5,Blockbuster,6.9,138,ZEE5,2023,5,May,Friday
494,Mark Antony,15-09-2023,414,Vishal,503,Kollywood,738,35,11.45,104.3,19,85.3,Blockbuster,6.6,150,Amazon Prime Video,2023,9,September,Friday
499,Baby,14-07-2023,418,Anand Deverakonda,505,Tollywood,636,10,6.3,81.05,6,75.05,Blockbuster,7.1,175,Aha,2023,7,July,Friday
505,12th Fail,27-10-2023,421,Vikrant Massey,501,Bollywood,633,20,1.5,70.05,3.5,66.55,Blockbuster,8.8,147,Netflix,2023,10,October,Friday
509,Viduthalai Part 1,31-03-2023,157,Soori,503,Kollywood,621,25,5,53,9.25,43.75,Blockbuster,8.3,150,ZEE5,2023,3,March,Friday
511,Miss. Shetty Mr. Polishetty,7/9/23,424,Naveen Polishetty,505,Tollywood,742,20,5.8,51,17.2,33.8,Blockbuster,7,149,Netflix,2023,9,September,Thursday
516,Por Thozhil,16-06-2023,427,R. Sarathkumar,503,Kollywood,607,8,1.6,43.5,5.3,38.2,Blockbuster,8,147,SonyLIV,2023,6,June,Friday
539,Dada,10/2/23,448,Kavin,503,Kollywood,741,4,0.85,20.9,1.5,19.4,Blockbuster,8.1,133,Amazon Prime Video,2023,2,February,Friday
540,Kalki 2898-AD,27-06-2024,153,Prabhas,505,Tollywood,746,500,177.7,1042.25,275,767.25,Blockbuster,7,180,Amazon Prime Video,2024,6,June,Thursday
541,Stree 2: Sarkate Ka Aatank,15-08-2024,141,Bhumi Rajgor,501,Bollywood,628,80,80,857.07,144,713.07,Blockbuster,7.1,147,Amazon Prime Video,2024,8,August,Thursday
545,Hanu Man,12/1/24,449,Teja Sajja,505,Tollywood,673,30,23.5,295,57.25,238,Blockbuster,7.8,158,Amazon Prime Video,2024,1,January,Friday
550,The Goat Life,28-03-2024,452,Prithviraj Sukumaran,509,Mollywood,713,50,16.22,157.35,97.85,97.85,Blockbuster,7.1,173,Amazon Prime Video,2024,3,March,Thursday
551,Aavesham,11/4/24,422,Fahadh Faasil,509,Mollywood,612,30,10.5,154.79,56,98.79,Blockbuster,7.8,155,Amazon Prime Video,2024,4,April,Thursday
552,Raayan,26-07-2024,453,Dhanush,503,Kollywood,606,70,23,154,43.5,110.5,Blockbuster,6.5,145,Amazon Prime Video,2024,7,July,Friday
556,Premalu,15-02-2024,390,Naslen,509,Mollywood,630,10,1.35,131.18,42.5,88.68,Blockbuster,7.8,156,Amazon Prime Video,2024,2,February,Thursday
557,Tillu Square,29-03-2024,456,Sidhu Jonnalagadda,505,Tollywood,750,35,22.65,126.75,30,96.75,Blockbuster,6.7,137,Aha,2024,3,March,Friday
558,Munjya,7/6/24,457,Sharvari,501,Bollywood,628,30,4.8,125,5,120,Blockbuster,6.4,123,Amazon Prime Video,2024,6,June,Friday
562,Maharaja,14-06-2024,460,Vijay Sethupathi,503,Kollywood,621,30,104.84,71.26,80.59,80.59,Blockbuster,8.5,141,Amazon Prime Video,2024,6,June,Friday
563,A.R.M,12/9/24,461,Mohanlal,509,Mollywood,669,30,6.25,102,32,70,Blockbuster,7.6,150,Amazon Prime Video,2024,9,September,Thursday
565,Aranmanai 4,21-06-2024,186,Tamannaah Bhatia,503,Kollywood,666,35,5.3,98,20,78,Blockbuster,5.1,148,Amazon Prime Video,2024,6,June,Friday
566,Guruvayoor Ambalanadayil,16-05-2024,339,Prithviraj Sukumaran,509,Mollywood,631,20,8,90.15,34.85,55.3,Blockbuster,6.6,132,Amazon Prime Video,2024,5,May,Thursday
568,Varshangalkku Shesham,11/4/24,332,Pranav Mohanlal,509,Mollywood,620,20,10.15,83.1,46.6,46.6,Blockbuster,6.6,166,Amazon Prime Video,2024,4,April,Thursday
574,Kishkindha Kaandam,12/9/24,464,Asif Ali,509,Mollywood,753,7,0.5,69.25,43.25,43.25,Blockbuster,8.6,133,Amazon Prime Video,2024,9,September,Thursday
582,Demonte Colony 2,27-09-2024,172,VJ Archana,503,Kollywood,754,15,5.05,49.15,41.65,41.65,Blockbuster,6.7,144,Amazon Prime Video,2024,9,September,Friday
586,Vaazhai,23-08-2024,303,Dhivya Dhuraisamy,503,Kollywood,755,5,2.25,39.02,34.22,34.22,Blockbuster,7.9,134,Amazon Prime Video,2024,8,August,Friday
588,Vaazha: Biopic of a Billion Boys,23-08-2024,472,Siju Sunny,509,Mollywood,647,4,2,36.5,26.5,26.5,Blockbuster,7.3,125,Amazon Prime Video,2024,8,August,Friday
135,Raajakumara,24-03-2017,126,Puneeth Rajkumar,507,Sandalwood,606,20,7.3,75,0.2,74.8,All Time Blockbuster,7.9,148,Amazon Prime Video,2017,3,March,Friday
278,Yuvarathnaa,1/4/21,126,Puneeth Rajkumar,507,Sandalwood,606,25,10.05,38.7,0.7,38,Below Average,6.3,161,Amazon Prime Video,2021,4,April,Thursday
57,Agnyaathavaasi,9/1/18,143,Pawan Kalyan,505,Tollywood,606,90,61,96,19,77,Disaster,4.3,158,Amazon Prime Video,2018,1,January,Tuesday
30,Bangalore Days,30-05-2014,129,Dulquer Salmaan,509,Mollywood,608,10,1.9,50,17.5,32.5,Blockbuster,8.3,171,Amazon Prime Video,2014,5,May,Friday
41,K.G.F: Chapter 1,21-12-2018,131,Yash,507,Sandalwood,621,50,25,238,10,228,All Time Blockbuster,8.2,154,Amazon Prime Video,2018,12,December,Friday
287,K.G.F: Chapter 2,13-04-2022,131,Yash,507,Sandalwood,621,100,159,1215,214.15,1000.85,All Time Blockbuster,8.2,166,Amazon Prime Video,2022,4,April,Wednesday
163,Jomonte Suvisheshangal,3/2/17,161,Dulquer Salmaan,509,Mollywood,620,12,2.7,38.4,8.6,29.8,Super Hit,6.6,156,Amazon Prime Video,2017,2,February,Friday
368,Ala Vaikunthapurramuloo,10/1/20,143,Allu Arjun,505,Tollywood,610,100,57,269.35,36,233.35,Blockbuster,7.3,163,Netflix,2020,1,January,Friday
107,Golmaal Again,20-10-2017,105,Ajay Devgn,501,Bollywood,652,135,31,308.5,45.7,262.8,Blockbuster,5,140,Amazon Prime Video,2017,10,October,Friday
147,Velaiilla Pattadhari 2,11/8/17,116,Dhanush,503,Kollywood,612,30,6.9,53.5,6,47.5,Flop,5.4,128,Amazon Prime Video,2017,8,August,Friday
202,Bruce Lee: The Fighter,16-10-2015,123,Ram Charan,505,Tollywood,612,60,22,68.5,11.5,57,Flop,5.5,151,Amazon Prime Video,2015,10,October,Friday
67,The Villain,18-10-2018,160,Shivarajkumar,507,Sandalwood,618,45,12,52.7,7.2,45.5,Above Average,4.9,176,Amazon Prime Video,2018,10,October,Thursday
27,Mr. And Mrs. Ramchari,25-12-2014,126,Yash,507,Sandalwood,619,6,4,53,1.4,51.6,All Time Blockbuster,7.3,156,Amazon Prime Video,2014,12,December,Thursday
92,Theevandi,21-09-2018,184,Tovino Thomas,509,Mollywood,631,5,1.7,27.1,2.7,24.4,Super Hit,6.6,144,Amazon Prime Video,2018,9,September,Friday
61,Kayamkulam Kochunni,19-10-2018,154,Nivin Pauly,509,Mollywood,634,40,9.5,71.3,20.3,51,Super Hit,6.8,152,Amazon Prime Video,2018,10,October,Friday
